route_code,cost,start_location,end_location,estimated_travel_time,distance,avg_traffic_density,avg_fuel_consumption,historical_delays,weather_risk_factor,time_of_day_efficiency,day_of_week_efficiency,seasonal_factors,complexity_score,historical_incidents,id
R001,65.3504042095614,Bugesera,Kigali,1.780075911106116,106.5045641915967,0.8,16.7332315408011,24.948438309074106,0.4545233229978039,"{""0"": 0.9057933762469939, ""1"": 0.9111758027895728, ""2"": 0.9881622030074543, ""3"": 0.9290248469113938, ""4"": 0.8991273127104047, ""5"": 0.9056816465732652, ""6"": 0.7977527874186006, ""7"": 0.6495813741538266, ""8"": 0.5891821580933714, ""9"": 0.7667535907681737, ""10"": 0.7972153243241844, ""11"": 0.7511497947771153, ""12"": 0.7751437144806362, ""13"": 0.8357378762986702, ""14"": 0.7736765547541363, ""15"": 0.7768098245063664, ""16"": 0.9240062994354288, ""17"": 0.565590423854284, ""18"": 0.6211542253104055, ""19"": 0.9118692517349549, ""20"": 0.7287336897457173, ""21"": 0.7475924096493531, ""22"": 0.7054437924193447, ""23"": 0.8198886480215897}","{""0"": 0.9389879353842443, ""1"": 0.8376925610850503, ""2"": 0.8973690066821013, ""3"": 0.9525091134312565, ""4"": 0.929087683775296, ""5"": 0.8605062409449189, ""6"": 0.8166874973847505}","{""winter"": 0.7833643386204441, ""spring"": 0.7734027361376169, ""summer"": 0.9965471381868684, ""fall"": 0.9892750560866698}",4.810203621310171,15,1
R002,68.98526772869425,Kigali,Gicumbi (Byumba),1.6712486084381306,76.29578928026382,0.8,13.499334777352207,28.59768300015607,0.8990941717809713,"{""0"": 0.9185166600130152, ""1"": 0.8494081669257436, ""2"": 0.9048341436054954, ""3"": 0.8630045817254345, ""4"": 0.9602465204448956, ""5"": 0.9536750499181587, ""6"": 0.9406763976714823, ""7"": 0.6534420337822336, ""8"": 0.5267735368775144, ""9"": 0.9785394936872756, ""10"": 0.8962081133915225, ""11"": 0.9566350542846431, ""12"": 0.827126111746281, ""13"": 0.8038761321457312, ""14"": 0.8304763087518812, ""15"": 0.886812636185028, ""16"": 0.9522411032388937, ""17"": 0.5688513981416289, ""18"": 0.6239475093835145, ""19"": 0.7024866179675446, ""20"": 0.806132045687, ""21"": 0.8846887308588252, ""22"": 0.9236770920766197, ""23"": 0.7300646834366106}","{""0"": 0.944314877554226, ""1"": 0.8451417826515571, ""2"": 0.9340960275457837, ""3"": 0.974523990893996, ""4"": 0.9516980823739056, ""5"": 0.8393771855560851, ""6"": 0.812944817779392}","{""winter"": 0.766945425944832, ""spring"": 0.7302641915840778, ""summer"": 0.9059331104417266, ""fall"": 0.918747555557455}",7.0047482288950835,8,2
R003,130.98342406019344,Nyanza,Kigali,1.8361344496168954,107.806777487805,0.8,14.172875584707842,21.48245120584201,0.8041906953137095,"{""0"": 0.993579493429234, ""1"": 0.9508764904062397, ""2"": 0.9821791794310655, ""3"": 0.7313476297160859, ""4"": 0.9233307764585976, ""5"": 0.847511242815277, ""6"": 0.7757954104731428, ""7"": 0.6330718867620748, ""8"": 0.5322917304235949, ""9"": 0.793734554006852, ""10"": 0.9332387166527694, ""11"": 0.8954734478164126, ""12"": 0.8706602507319569, ""13"": 0.8347408846689153, ""14"": 0.841577992498834, ""15"": 0.8780828717331185, ""16"": 0.8342372335201145, ""17"": 0.5175727299077499, ""18"": 0.6492413475574556, ""19"": 0.98000808795184, ""20"": 0.9484904791909097, ""21"": 0.8686316820453146, ""22"": 0.7005537478630453, ""23"": 0.7746931957589199}","{""0"": 0.8797162809068038, ""1"": 0.8084022386959197, ""2"": 0.8111680203461314, ""3"": 0.8328660930116605, ""4"": 0.9107643631373583, ""5"": 0.9077253990786326, ""6"": 0.8108894066052147}","{""winter"": 0.6429475559529372, ""spring"": 0.8257566166240295, ""summer"": 0.9808444596162754, ""fall"": 0.9825641239674725}",3.3091226852752964,8,3
R004,80.3386063700511,Bugesera,Kigali,2.5646484764233035,103.03619697811042,0.8,11.259048188701353,17.877283553236218,0.42734034876372684,"{""0"": 0.8373086055052111, ""1"": 0.7174899300472123, ""2"": 0.7922455205600468, ""3"": 0.7016612547018065, ""4"": 0.8929661297618041, ""5"": 0.9455614699959326, ""6"": 0.9910942777149709, ""7"": 0.6673628378438029, ""8"": 0.5941916108744254, ""9"": 0.9730739339923131, ""10"": 0.978959785510904, ""11"": 0.9184155025152908, ""12"": 0.9001313146872484, ""13"": 0.8949542003909816, ""14"": 0.9880677684991309, ""15"": 0.8035820067432784, ""16"": 0.927436700583609, ""17"": 0.5357752239641711, ""18"": 0.6325438336032926, ""19"": 0.7591386379702775, ""20"": 0.9448161363089219, ""21"": 0.8536124559196062, ""22"": 0.9410461434959619, ""23"": 0.9653175334763118}","{""0"": 0.9661567834927426, ""1"": 0.9168596215493132, ""2"": 0.8868112208039679, ""3"": 0.8378909379298947, ""4"": 0.921748537651606, ""5"": 0.8893788613380161, ""6"": 0.8299270202545344}","{""winter"": 0.7339282041302577, ""spring"": 0.7005231140997479, ""summer"": 0.9700947305841854, ""fall"": 0.9828836259180785}",7.570104164825332,10,4
R005,74.81680304139353,Kigali,Gicumbi (Byumba),2.2593929995068742,90.72761208842597,0.8,9.001888013507763,11.795991095122776,0.5647666341861166,"{""0"": 0.7564915260123436, ""1"": 0.8843038577213329, ""2"": 0.8913184785590014, ""3"": 0.9215713072008874, ""4"": 0.8885540729076199, ""5"": 0.9104400843606006, ""6"": 0.905552050736899, ""7"": 0.6038889751426583, ""8"": 0.5750366436673002, ""9"": 0.7590004482601853, ""10"": 0.7920618627236808, ""11"": 0.9612779254981649, ""12"": 0.9585177143250803, ""13"": 0.7873841957891493, ""14"": 0.8823985669037869, ""15"": 0.9707734340134788, ""16"": 0.8924639522778742, ""17"": 0.5833026374430658, ""18"": 0.6658836237605046, ""19"": 0.8844824824900794, ""20"": 0.9030109412951773, ""21"": 0.7577810995946476, ""22"": 0.848580287670576, ""23"": 0.8303179363945882}","{""0"": 0.829207711812507, ""1"": 0.8653892017176374, ""2"": 0.9627351880013202, ""3"": 0.8723770860521008, ""4"": 0.8367790793480432, ""5"": 0.850933902037635, ""6"": 0.8232678645382353}","{""winter"": 0.6897502690511654, ""spring"": 0.8290750130592672, ""summer"": 0.9489984574174319, ""fall"": 0.9724481938363645}",6.673748883879561,11,5
R006,108.0019870439938,Gicumbi (Byumba),Kigali,1.495552297088172,88.67811441471025,0.8,12.43502917505667,41.13037384791083,0.8322200435081719,"{""0"": 0.988113698408521, ""1"": 0.878114823466863, ""2"": 0.8801964578547276, ""3"": 0.9213144058949527, ""4"": 0.9451373700002059, ""5"": 0.8463494129598579, ""6"": 0.8982393304996881, ""7"": 0.6736630322812348, ""8"": 0.5965616526138103, ""9"": 0.9426662079141126, ""10"": 0.9231938817742912, ""11"": 0.8021964796705284, ""12"": 0.8536767559870362, ""13"": 0.9652720565891875, ""14"": 0.8161509032417213, ""15"": 0.8384195607257341, ""16"": 0.7386989405201011, ""17"": 0.5591387918150681, ""18"": 0.6893631409816651, ""19"": 0.8518668747235892, ""20"": 0.8013588445522306, ""21"": 0.8103604660900894, ""22"": 0.7643163924771617, ""23"": 0.9054398325718199}","{""0"": 0.991478806050024, ""1"": 0.8490517763022357, ""2"": 0.8410715931500876, ""3"": 0.8891843758737664, ""4"": 0.8076686754021879, ""5"": 0.9832922993807117, ""6"": 0.8341332717917156}","{""winter"": 0.6645105933372851, ""spring"": 0.7779756482664064, ""summer"": 0.9779704858629168, ""fall"": 0.957722046196361}",5.622460666544578,12,6
R007,144.23424556513595,Kigali,Nyagatare,2.837908633719738,116.49373049885811,0.8,15.370726119819953,34.61179892901313,0.4510830490875822,"{""0"": 0.7533722603759108, ""1"": 0.7518235073368261, ""2"": 0.8396190178794191, ""3"": 0.8208442627931821, ""4"": 0.99420242295182, ""5"": 0.8340674147494962, ""6"": 0.9030196309318792, ""7"": 0.6782128084803261, ""8"": 0.5194971144874988, ""9"": 0.718415093783672, ""10"": 0.8220803774985269, ""11"": 0.8173166092250645, ""12"": 0.7119731020528116, ""13"": 0.9158304783352537, ""14"": 0.9894175291813119, ""15"": 0.7787763644377964, ""16"": 0.8915770741415395, ""17"": 0.5957386624469406, ""18"": 0.6262596488162554, ""19"": 0.9035217331157531, ""20"": 0.8244843447530704, ""21"": 0.9135749184259779, ""22"": 0.8945310526080206, ""23"": 0.9726013957747053}","{""0"": 0.9230288848841247, ""1"": 0.9472700198489018, ""2"": 0.9774259653209146, ""3"": 0.8754489547365399, ""4"": 0.981388395545526, ""5"": 0.8086862494449599, ""6"": 0.9218752716238396}","{""winter"": 0.7875462561921673, ""spring"": 0.7671147854350071, ""summer"": 0.9012575397898679, ""fall"": 0.9095805350965234}",7.0798179176430365,14,7
R008,42.57629762125068,Kigali,Bugesera,1.411062728223392,70.6977329531788,0.8,15.798762814249024,17.162313638321834,0.3298001025812406,"{""0"": 0.9847802205736177, ""1"": 0.8648123452390347, ""2"": 0.7831733738016973, ""3"": 0.8760068537960808, ""4"": 0.9796822743535545, ""5"": 0.8127715286954107, ""6"": 0.8834292118590386, ""7"": 0.6004552512688073, ""8"": 0.5447490978695547, ""9"": 0.7160517089328169, ""10"": 0.9523995330335362, ""11"": 0.7279609037769247, ""12"": 0.7719787648606258, ""13"": 0.8162279994626693, ""14"": 0.9061401183750948, ""15"": 0.8755549554580513, ""16"": 0.7749606579417635, ""17"": 0.584781825732207, ""18"": 0.6093857951366372, ""19"": 0.8952363930429006, ""20"": 0.9620031053626035, ""21"": 0.8584642357468408, ""22"": 0.9718920003821602, ""23"": 0.77730677877399}","{""0"": 0.9329355772928019, ""1"": 0.8681457501865386, ""2"": 0.9363171339228914, ""3"": 0.8826151312596826, ""4"": 0.8242591611738131, ""5"": 0.8477789213746709, ""6"": 0.9110704357647431}","{""winter"": 0.7490613565925569, ""spring"": 0.8638199572588796, ""summer"": 0.9747823338070897, ""fall"": 0.9476844573383086}",3.6635405868320094,10,8
R009,90.88977866147789,Kigali,Nyanza,2.0618048469093195,114.53973022639966,0.8,16.58039901830898,39.844450847635585,0.5880619054207128,"{""0"": 0.7459135412517814, ""1"": 0.7003900547325009, ""2"": 0.85894672556085, ""3"": 0.8017681991803438, ""4"": 0.8784161741914484, ""5"": 0.7877593685340413, ""6"": 0.8783826276070159, ""7"": 0.6406359251129115, ""8"": 0.5309992936140489, ""9"": 0.9842047050454836, ""10"": 0.7571740039968187, ""11"": 0.9843026399626376, ""12"": 0.7298084909023519, ""13"": 0.7169131445314453, ""14"": 0.8495077857407185, ""15"": 0.7441455859845318, ""16"": 0.8188578806315007, ""17"": 0.5486808441265535, ""18"": 0.602621343752862, ""19"": 0.9298369773375362, ""20"": 0.7417173891761777, ""21"": 0.9043596351094334, ""22"": 0.8738770127068043, ""23"": 0.7323309765214947}","{""0"": 0.8119030331374024, ""1"": 0.8396575467615724, ""2"": 0.8540818628658362, ""3"": 0.9974848306914117, ""4"": 0.9316624734751362, ""5"": 0.9700040772098654, ""6"": 0.9355118825253813}","{""winter"": 0.7057452831118218, ""spring"": 0.8000467300608913, ""summer"": 0.9433161350645834, ""fall"": 0.9154343238838891}",6.618789080058184,3,9
R010,165.3134966144893,Kigali,Muhanga (Gitarama),2.3306813232986325,132.04870229403178,0.8,17.68974105744172,39.06269462840724,0.5972993182205621,"{""0"": 0.8316548769364406, ""1"": 0.8180170271206164, ""2"": 0.9194499950935613, ""3"": 0.9425785537530982, ""4"": 0.7903348262991727, ""5"": 0.9143086917413739, ""6"": 0.7966312437087201, ""7"": 0.619846441369275, ""8"": 0.5106057466926258, ""9"": 0.8335203732480081, ""10"": 0.8069179442521278, ""11"": 0.7111844947823549, ""12"": 0.8738417461022605, ""13"": 0.966177742829605, ""14"": 0.8389885312447668, ""15"": 0.9785082788848871, ""16"": 0.7989758336463972, ""17"": 0.5726931418531458, ""18"": 0.6311590921715525, ""19"": 0.9653751288827955, ""20"": 0.7458304395164859, ""21"": 0.9127538820471542, ""22"": 0.8300079371893827, ""23"": 0.9321236393495875}","{""0"": 0.8168428613502882, ""1"": 0.9517739835359547, ""2"": 0.8318714634155565, ""3"": 0.8946708684646698, ""4"": 0.9177360220325871, ""5"": 0.9183468361606052, ""6"": 0.9971439089644524}","{""winter"": 0.6234766428089449, ""spring"": 0.7230536260165427, ""summer"": 0.9359882191337053, ""fall"": 0.9713796935780631}",5.58088966387494,2,10
