route_code,cost,start_location,end_location,estimated_travel_time,distance,avg_traffic_density,avg_fuel_consumption,historical_delays,weather_risk_factor,time_of_day_efficiency,day_of_week_efficiency,seasonal_factors,complexity_score,historical_incidents,id
R001,106.41898872335909,Kirehe,Kamonyi,2,341.7691806611003,0.5523270659009357,27.072410391933058,32.41994452879814,0.6926720484186517,"{""0"": 0.7850960693701218, ""1"": 0.7306998218863824, ""2"": 0.88955515291889, ""3"": 0.7269308472552775, ""4"": 0.8163739522677854, ""5"": 0.7975425593672426, ""6"": 0.7118548667759843, ""7"": 0.8515359800871669, ""8"": 0.9834536830976791, ""9"": 0.7853753656365148, ""10"": 0.7923402895620238, ""11"": 0.7423282793547498, ""12"": 0.8173268505626327, ""13"": 0.7942279452823091, ""14"": 0.9565956683434602, ""15"": 0.7087332579060798, ""16"": 0.8022347244954252, ""17"": 0.9984648619867748, ""18"": 0.7474819691884957, ""19"": 0.958764933323623, ""20"": 0.9790656960731605, ""21"": 0.8717068995147061, ""22"": 0.9800925312151749, ""23"": 0.9153027104514166}","{""0"": 0.9863801722833414, ""1"": 0.9959648593229529, ""2"": 0.9063489745896642, ""3"": 0.9250543384615296, ""4"": 0.9180467221502687, ""5"": 0.9938792972303494, ""6"": 0.9803825231228278}","{""winter"": 0.7976286732358245, ""spring"": 0.8223178631077067, ""summer"": 0.9759019876404476, ""fall"": 0.8737358472492154}",2.638647171942051,16,1
R002,270.424126753673,Gicumbi,Nyamagabe,6,51.24085533817912,0.1996168497655395,24.145118031121193,20.498485631746703,0.268866026024013,"{""0"": 0.9499016297389116, ""1"": 0.801712386931311, ""2"": 0.9434931863565562, ""3"": 0.742736658475623, ""4"": 0.8402359086442494, ""5"": 0.8515658312289639, ""6"": 0.7844482846520198, ""7"": 0.9113954412690525, ""8"": 0.991801986439113, ""9"": 0.738886835697668, ""10"": 0.9780158915636015, ""11"": 0.7312483439890693, ""12"": 0.9492338936685911, ""13"": 0.7578427508913127, ""14"": 0.7567147151672897, ""15"": 0.9582945614632552, ""16"": 0.9065331329904227, ""17"": 0.9695074046694256, ""18"": 0.750129745257437, ""19"": 0.9715263937540163, ""20"": 0.709135977772485, ""21"": 0.7970821545378581, ""22"": 0.9447503429395954, ""23"": 0.8968846276597738}","{""0"": 0.9684918790707963, ""1"": 0.9912543478861358, ""2"": 0.9587645917427906, ""3"": 0.9688911269250351, ""4"": 0.842736962431991, ""5"": 0.8290086934587043, ""6"": 0.8475779820993694}","{""winter"": 0.7425604763617859, ""spring"": 0.8429205316794525, ""summer"": 0.9707066725941196, ""fall"": 0.8755812190600103}",2.3954089473892854,20,2
R003,277.00148106011557,Kigali,Butare,8,113.77129125857113,0.2533743495797647,24.05656712113344,35.13732693210218,0.13234683202282305,"{""0"": 0.949737769294235, ""1"": 0.8597087316747326, ""2"": 0.9316797683202592, ""3"": 0.9667834508852402, ""4"": 0.7134120703776942, ""5"": 0.7906221034207594, ""6"": 0.7739387770359348, ""7"": 0.8305761082644885, ""8"": 0.8241200172719023, ""9"": 0.712730613712118, ""10"": 0.7782374377947312, ""11"": 0.9078243257242468, ""12"": 0.7585903229689149, ""13"": 0.8677288134422013, ""14"": 0.7935185969879186, ""15"": 0.8280000085628495, ""16"": 0.8467164524128598, ""17"": 0.7426441853083758, ""18"": 0.8496320534048352, ""19"": 0.990058212489874, ""20"": 0.7236719793231545, ""21"": 0.9219244151381154, ""22"": 0.8118845208100365, ""23"": 0.9156267610802464}","{""0"": 0.9781988752916229, ""1"": 0.8174839921561737, ""2"": 0.8986678662336621, ""3"": 0.996691362424768, ""4"": 0.9392268993167392, ""5"": 0.9708696820202234, ""6"": 0.8479285190352582}","{""winter"": 0.7562959845501425, ""spring"": 0.9204286230827408, ""summer"": 0.970980420102916, ""fall"": 0.8136931449830858}",5.939724836466142,16,3
R004,179.0898721856313,Rubavu,Kigali,5,154.36743971114709,0.8619323251003559,28.941050255667744,56.50052004588969,0.6709057416478778,"{""0"": 0.7963929378021948, ""1"": 0.9791651862434612, ""2"": 0.7942207787903848, ""3"": 0.7358398956678497, ""4"": 0.8866141097335013, ""5"": 0.9302606656167298, ""6"": 0.7278457739844046, ""7"": 0.9921197937095141, ""8"": 0.7980143059947502, ""9"": 0.8250700512973719, ""10"": 0.7235505896015567, ""11"": 0.7741587267816672, ""12"": 0.9552930505316904, ""13"": 0.9650956778646709, ""14"": 0.7853304043828707, ""15"": 0.9603719699350146, ""16"": 0.7900065130738351, ""17"": 0.9185237432763895, ""18"": 0.7521432355510482, ""19"": 0.7032181522362816, ""20"": 0.8018640919885411, ""21"": 0.7931447663361725, ""22"": 0.9444582506673277, ""23"": 0.9068347773474956}","{""0"": 0.8168446847390184, ""1"": 0.9766193774997378, ""2"": 0.9434336382156676, ""3"": 0.883738126904632, ""4"": 0.8847393948313511, ""5"": 0.9878263488004865, ""6"": 0.8803963696852383}","{""winter"": 0.8089775019115959, ""spring"": 0.8498019696137016, ""summer"": 0.9313711816694887, ""fall"": 0.8184937260930871}",7.435296169540301,13,4
R005,287.93543297797606,Kirehe,Kibuye,8,120.69733663490008,0.27682439844966017,25.427881287576696,27.99335507350801,0.6601805788838585,"{""0"": 0.7928539340784547, ""1"": 0.7929171673074886, ""2"": 0.9931728238754255, ""3"": 0.7073490567054687, ""4"": 0.803901947034268, ""5"": 0.7508157139211955, ""6"": 0.8302527855245466, ""7"": 0.7849500343216217, ""8"": 0.7623414161003457, ""9"": 0.9600535492532061, ""10"": 0.837104288235331, ""11"": 0.9082411883048686, ""12"": 0.9602432833174154, ""13"": 0.745664541606985, ""14"": 0.7828572060247437, ""15"": 0.9652830716083598, ""16"": 0.8308057644718596, ""17"": 0.7211897609375669, ""18"": 0.9625580368507309, ""19"": 0.7717065561205759, ""20"": 0.9906105287859319, ""21"": 0.7277288245556248, ""22"": 0.8842774712955283, ""23"": 0.9920828400415997}","{""0"": 0.975107761929426, ""1"": 0.9083939221171489, ""2"": 0.8312300990230425, ""3"": 0.892093935266583, ""4"": 0.9532736634382072, ""5"": 0.841577526702689, ""6"": 0.8823369144719383}","{""winter"": 0.733728564704924, ""spring"": 0.8983202642742688, ""summer"": 0.9945133047673764, ""fall"": 0.9477780306401067}",5.228800024241949,9,5
R006,475.28877877815773,Kamonyi,Kibuye,6,172.0814157572289,0.8053491392665543,28.441461450513266,29.839203119515037,0.3317106371333559,"{""0"": 0.9927283482577226, ""1"": 0.7711405290179757, ""2"": 0.9295936240915258, ""3"": 0.9360230756137096, ""4"": 0.9778466006962129, ""5"": 0.868975551894122, ""6"": 0.9902221777795035, ""7"": 0.7647744550843517, ""8"": 0.8551929642224526, ""9"": 0.8234699128642421, ""10"": 0.8394622138073752, ""11"": 0.8012196914064225, ""12"": 0.7514236646374651, ""13"": 0.7291355807252575, ""14"": 0.8041036968482319, ""15"": 0.9038122690834642, ""16"": 0.8680145212256832, ""17"": 0.9635453446851698, ""18"": 0.7942508944121519, ""19"": 0.9843357480504633, ""20"": 0.8359220259456329, ""21"": 0.8919769503504504, ""22"": 0.7385302528028416, ""23"": 0.9567286341906316}","{""0"": 0.8616741563528061, ""1"": 0.9491841804268573, ""2"": 0.985995448928841, ""3"": 0.9852534447666126, ""4"": 0.9990976168185074, ""5"": 0.8141457510312671, ""6"": 0.9108091929653926}","{""winter"": 0.721942913511382, ""spring"": 0.8996359714358344, ""summer"": 0.9119813280780162, ""fall"": 0.9478706021786207}",5.535884680836811,12,6
R007,190.88164150686111,Nyundo,Butare,7,326.35760397732787,0.41369012393213,23.29369903837091,38.22283060458373,0.5709504370486866,"{""0"": 0.9495825632633482, ""1"": 0.891428746564246, ""2"": 0.7273137191315441, ""3"": 0.8197785508152736, ""4"": 0.7689225497381518, ""5"": 0.7258296378839201, ""6"": 0.9802179285394763, ""7"": 0.9822144484238444, ""8"": 0.9461145580959414, ""9"": 0.7059279263548711, ""10"": 0.8425597176264644, ""11"": 0.8450602986254825, ""12"": 0.9213546489184627, ""13"": 0.8361190163052818, ""14"": 0.7199235841452388, ""15"": 0.842199389083271, ""16"": 0.7358759621040497, ""17"": 0.9593658162163201, ""18"": 0.8758907685802737, ""19"": 0.9707068933915267, ""20"": 0.797535586526306, ""21"": 0.940552052909339, ""22"": 0.9407320794808005, ""23"": 0.90198571766536}","{""0"": 0.9317112684370779, ""1"": 0.9366611365403484, ""2"": 0.8398892351850133, ""3"": 0.809465360196209, ""4"": 0.8120537313380123, ""5"": 0.991455575549869, ""6"": 0.998275049730194}","{""winter"": 0.8079019366312395, ""spring"": 0.8655235496864384, ""summer"": 0.9645932570818176, ""fall"": 0.8892448467686692}",8.830421933764542,3,7
R008,325.9458613055577,Gicumbi,Musanze,2,357.7719906110952,0.12949028140487695,20.762734482284802,35.3802108603257,0.6750996790605965,"{""0"": 0.974387754143883, ""1"": 0.7724783535096327, ""2"": 0.7357631205802164, ""3"": 0.8299571019488009, ""4"": 0.7587066850190092, ""5"": 0.9021088983532838, ""6"": 0.735392713113278, ""7"": 0.7861016649455026, ""8"": 0.77780995423614, ""9"": 0.7879191052554884, ""10"": 0.98656655667962, ""11"": 0.9292105821759453, ""12"": 0.9045099858021345, ""13"": 0.7004623286104417, ""14"": 0.7464474927905895, ""15"": 0.7806564697876068, ""16"": 0.7503693635370136, ""17"": 0.9321895802506857, ""18"": 0.8441166033052007, ""19"": 0.8843768372831342, ""20"": 0.704169297852614, ""21"": 0.8805783821532356, ""22"": 0.8463550784960918, ""23"": 0.8103143920405224}","{""0"": 0.856862747898111, ""1"": 0.8763086179418415, ""2"": 0.8279727269473715, ""3"": 0.8797141067149331, ""4"": 0.8546192609363842, ""5"": 0.927853110680196, ""6"": 0.9712175006420218}","{""winter"": 0.8681026898445282, ""spring"": 0.9867601335190999, ""summer"": 0.9511423324623374, ""fall"": 0.9456027976421524}",6.396676498886718,14,8
R009,384.71841318257486,Nyanza,Gicumbi,7,347.41141641269303,0.2352685619819667,11.129810062628483,24.193711067041107,0.1795767183204096,"{""0"": 0.8426557580541186, ""1"": 0.8252412232629662, ""2"": 0.7673955280370691, ""3"": 0.7273361077305702, ""4"": 0.8349735724578446, ""5"": 0.7267083082125813, ""6"": 0.8588742325375152, ""7"": 0.785550374948157, ""8"": 0.8811804708125314, ""9"": 0.9063501598163664, ""10"": 0.8130961354406807, ""11"": 0.9149196085922466, ""12"": 0.9776903292179837, ""13"": 0.9710087688611666, ""14"": 0.9532508741047931, ""15"": 0.8057424791834866, ""16"": 0.8876942756540852, ""17"": 0.9138171261117964, ""18"": 0.8070761227278609, ""19"": 0.9399895696128773, ""20"": 0.7030495876565231, ""21"": 0.8952037659603366, ""22"": 0.9383886075660919, ""23"": 0.7449074060441492}","{""0"": 0.9475994633068465, ""1"": 0.9889755878835965, ""2"": 0.9889128698934689, ""3"": 0.9895522881782284, ""4"": 0.881426146100408, ""5"": 0.9292406992484202, ""6"": 0.9609005140814179}","{""winter"": 0.7792845669761683, ""spring"": 0.8896206273888697, ""summer"": 0.9066754575093362, ""fall"": 0.8819615110065657}",8.471201911833305,17,9
R010,360.29367748034866,Kirehe,Kamonyi,5,291.26786194633985,0.6435571231691092,23.281573736193483,20.026856554085473,0.1760096807065054,"{""0"": 0.8919876616756071, ""1"": 0.9664986397504944, ""2"": 0.8700897180293176, ""3"": 0.891990362732806, ""4"": 0.8553732177089519, ""5"": 0.7371055441260184, ""6"": 0.7248283105635285, ""7"": 0.9097960740048124, ""8"": 0.9943061334198302, ""9"": 0.7827703073317313, ""10"": 0.8496279215184113, ""11"": 0.9509226080342615, ""12"": 0.8239854135005811, ""13"": 0.9451775944651164, ""14"": 0.9841422574633184, ""15"": 0.710569551312468, ""16"": 0.7862565598394623, ""17"": 0.9982500741013784, ""18"": 0.9268168336772848, ""19"": 0.7529368775514774, ""20"": 0.9851475079853232, ""21"": 0.7181117889159082, ""22"": 0.7377140808023054, ""23"": 0.9079025026427562}","{""0"": 0.8809547216103979, ""1"": 0.9309026796047701, ""2"": 0.9575108166614233, ""3"": 0.8943283115981114, ""4"": 0.9759577122914852, ""5"": 0.9651540354938202, ""6"": 0.9476243839446726}","{""winter"": 0.8984598253368135, ""spring"": 0.947969676957613, ""summer"": 0.974468551849627, ""fall"": 0.8714595412497892}",3.2598359819477705,15,10
