license_plate,model,capacity,category,status,total_trips,total_distance_travelled,manufacture_year,fuel_efficiency,maintenance_score,last_maintenance_date,maintenance_frequency,engine_hours,idle_time_percentage,avg_speed,emissions_data,tire_wear_rate,breakdown_frequency,sensor_data_json,operational_cost_per_mile,driver_id,route_id,id
VEH0001,Nissan Patrol,46,Coaster,active,133,55193.15442486841,2013,9.314737694982151,0.8449119492048247,2025-01-14,136,3180.3379020092348,0.25912424915567994,34.806099149101996,"{""co2"": 292.97830603264833, ""nox"": 36.38656928489783}",0.006085236469607462,0.012649252745664152,"{""engine_temp"": 191.60680967713125, ""oil_pressure"": 57.573286968938575, ""battery"": 12.030674740328266}",1.9875501797471469,130.0,278.0,1
VEH0002,Hino 300 Series,63,Cab,inactive,243,12807.076456195236,2017,10.258427371918742,0.596528979597676,2025-03-14,47,19981.261570396688,0.22372154934959776,43.05671577952668,"{""co2"": 199.14726586871947, ""nox"": 35.23006224448929}",0.0032858708578814245,0.00877210696114816,"{""engine_temp"": 195.2380558757243, ""oil_pressure"": 52.87972903189406, ""battery"": 12.438131942321949}",1.8183698281360274,408.0,349.0,2
VEH0003,Mitsubishi Rosa,14,Coaster,maintenance,243,47612.0824519158,2014,17.126127361670104,0.6955918941820919,2024-12-14,103,5271.185461161644,0.2254338601073645,57.60744153823914,"{""co2"": 178.50994849826722, ""nox"": 43.15265311749811}",0.005864403673345296,0.02148659358579867,"{""engine_temp"": 192.64001342496704, ""oil_pressure"": 68.27431102554945, ""battery"": 13.349959172528937}",0.5682891360231233,,294.0,3
VEH0004,Nissan Civilian,18,Coaster,inactive,82,88812.9001720953,2021,19.46467195292228,0.7818990244886099,2025-03-31,64,18333.907275140515,0.17166996504839338,34.31238882500204,"{""co2"": 294.9983649182518, ""nox"": 34.45625226988493}",0.008562106710351968,0.03214040781087783,"{""engine_temp"": 200.55809799989086, ""oil_pressure"": 61.67014695082573, ""battery"": 12.842420577725111}",1.7958513917636854,,160.0,4
VEH0005,Golden Dragon XML6127,60,Coach,active,33,11844.573405780107,2017,11.874619698140627,0.7912430138541517,2024-11-21,180,4550.582221094168,0.11182315583993531,42.71613624750647,"{""co2"": 215.21741704324666, ""nox"": 22.493859485604997}",0.0047598781866959785,0.018614670027500706,"{""engine_temp"": 199.9813889593789, ""oil_pressure"": 43.138653866231216, ""battery"": 12.843900449882378}",0.8820885243878858,209.0,298.0,5
VEH0006,Mercedes-Benz Actros,80,Cab,maintenance,57,6433.7736633551685,2018,16.72419662184577,0.5583641975644262,2025-03-02,44,8666.22059524789,0.20862736058571174,33.136396745795025,"{""co2"": 132.70428771381253, ""nox"": 27.518659815579465}",0.007340374614629069,0.024157014512716752,"{""engine_temp"": 187.64380184578602, ""oil_pressure"": 44.31480686966286, ""battery"": 13.399014640006563}",0.6042808886516383,1472.0,,6
VEH0007,Yutong ZK6122H9,37,Coach,active,81,43271.55404968432,2016,7.253585259752115,0.5656250701609203,2025-03-06,175,4688.425069536824,0.17565499896310072,48.42771010679822,"{""co2"": 131.97727685362685, ""nox"": 33.20014851206034}",0.002644766387133188,0.007642149432849182,"{""engine_temp"": 184.8663379355666, ""oil_pressure"": 45.81008632357377, ""battery"": 12.65340983321034}",1.0134774486627864,834.0,179.0,7
VEH0008,Toyota Hilux,42,Coaster,active,185,89804.249500883,2022,6.918226974318519,0.5370775974601493,2025-01-05,89,14872.164718949736,0.17149024898241044,56.52807623921065,"{""co2"": 164.46935170313483, ""nox"": 30.119501491777445}",0.008641454100194956,0.021728025847268947,"{""engine_temp"": 184.1935215628008, ""oil_pressure"": 58.005832892974475, ""battery"": 13.21064561559003}",0.6872789385391818,326.0,284.0,8
VEH0009,Toyota Coaster,14,Coaster,active,26,62389.98126619294,2012,8.846357237053166,0.6901969506702271,2024-10-31,65,2584.6624215193524,0.0856375960244203,52.43918188608654,"{""co2"": 103.61751820731743, ""nox"": 24.955898303388253}",0.00221450105390888,0.018952444700587434,"{""engine_temp"": 183.51541992901238, ""oil_pressure"": 44.804891397830744, ""battery"": 12.565530805391028}",1.5357610483979451,323.0,48.0,9
VEH0010,Toyota Hilux,35,Coaster,inactive,150,14509.157627014512,2013,17.518126925233368,0.6861656849561057,2025-01-09,31,19641.32781459336,0.05906840022493308,57.29306407850311,"{""co2"": 148.7189624582694, ""nox"": 39.275337567284275}",0.009404299167349493,0.014662418776920833,"{""engine_temp"": 215.37457139558117, ""oil_pressure"": 64.03575917564568, ""battery"": 12.120329129600318}",0.5198283762243557,792.0,,10
