license_plate,model,capacity,category,status,total_trips,total_distance_travelled,manufacture_year,fuel_efficiency,maintenance_score,last_maintenance_date,maintenance_frequency,engine_hours,idle_time_percentage,avg_speed,emissions_data,tire_wear_rate,breakdown_frequency,sensor_data_json,operational_cost_per_mile,driver_id,route_id,id
VEH0001,YuTong,81,Coach,inactive,123,98110.87926356457,2012,9.514722784856804,0.9602120111958935,2024-11-25,48,13852.440372129417,0.11169192751910269,42.85272784625976,"{""co2"": 116.0600659948829, ""nox"": 27.786883291898693}",0.009188213112911892,0.03485739272201245,"{""engine_temp"": 212.84771438402646, ""oil_pressure"": 57.51216614329037, ""battery"": 12.394670836072864}",0.7024279931476946,287.0,57.0,1
VEH0002,Toyota Hilux,63,Cab,active,36,62730.070347564615,2022,6.899796036871807,0.8227322477816308,2025-01-17,68,1331.3829812545187,0.1656404215533564,37.79663665086579,"{""co2"": 196.59252741462612, ""nox"": 28.074725585725417}",0.008732325676655899,0.006401010683306174,"{""engine_temp"": 185.0630030913488, ""oil_pressure"": 61.298618756868905, ""battery"": 13.116944018835708}",0.9337429712727039,,3.0,2
VEH0003,Nissan Patrol,56,Coaster,inactive,130,28214.024253334737,2020,9.553274411705814,0.9214964509154406,2024-11-30,101,13246.260359032634,0.2813695166269353,49.703882699241674,"{""co2"": 205.2546292468311, ""nox"": 11.112362468392796}",0.004806357956203818,0.013917786229670787,"{""engine_temp"": 207.5128397708558, ""oil_pressure"": 49.95054262960593, ""battery"": 12.63235475272023}",1.9724815840011607,580.0,224.0,3
VEH0004,Toyota Hilux,81,Cab,active,25,13713.053608356671,2015,6.259123064007806,0.8251963595344716,2024-11-11,134,6096.524477432547,0.12268786570788782,54.53825911646493,"{""co2"": 141.49789932194594, ""nox"": 49.53788159497962}",0.005061857417497606,0.023956695218387676,"{""engine_temp"": 209.51549861815332, ""oil_pressure"": 35.48342941705443, ""battery"": 13.304089770300282}",1.3457675861257958,649.0,,4
VEH0005,Nissan Patrol,68,Coaster,inactive,241,92781.06581526523,2019,12.671213067916753,0.7231959963228638,2025-01-25,112,14766.486458761707,0.2512406031082738,32.548420597055305,"{""co2"": 259.3211911452156, ""nox"": 37.11868559219394}",0.006426116210013268,0.047543100211349706,"{""engine_temp"": 204.03204037227707, ""oil_pressure"": 46.93855637023413, ""battery"": 12.949399999493629}",1.9074137116155234,124.0,,5
VEH0006,Isuzu D-Max,67,Coaster,maintenance,142,41810.24004795986,2018,15.136867998756184,0.9377721395089442,2024-12-29,69,15578.14825303584,0.13726104499328445,37.70181156199773,"{""co2"": 254.0290329474264, ""nox"": 47.424082683432566}",0.005342836216073846,0.025176395333912197,"{""engine_temp"": 200.55683369877403, ""oil_pressure"": 68.2161780505795, ""battery"": 13.650960060282294}",1.575386759031918,299.0,,6
VEH0007,Toyota Hilux,75,Coaster,inactive,226,68342.13608309929,2010,18.06083288066165,0.9996911636195617,2025-02-11,34,14651.655390197902,0.19879349592974838,52.0742177207748,"{""co2"": 223.46382325599302, ""nox"": 31.49855602775519}",0.007851579194987903,0.037505180423923826,"{""engine_temp"": 192.08322438817223, ""oil_pressure"": 55.7097861940329, ""battery"": 12.14981859227713}",1.715921890123106,626.0,,7
VEH0008,Nissan Patrol,93,Coaster,active,82,69292.64612454551,2021,8.434670658997934,0.9743493171913336,2025-02-12,39,6496.939962433142,0.275573035888304,59.43324657206135,"{""co2"": 297.13987383742983, ""nox"": 30.48802685273175}",0.004070764250840796,0.04215297176555574,"{""engine_temp"": 181.67425335451716, ""oil_pressure"": 67.8835010704666, ""battery"": 12.548172659749113}",1.1475687596154942,89.0,198.0,8
VEH0009,Isuzu D-Max,55,Coaster,maintenance,138,64674.81363613733,2012,16.11873692511705,0.8003668278190574,2024-12-18,124,16363.287311501137,0.26806531889082613,43.61317349841231,"{""co2"": 109.57679683524495, ""nox"": 12.80042589057555}",0.00519857707646942,0.007711304780012401,"{""engine_temp"": 197.28194893758405, ""oil_pressure"": 46.60365659621858, ""battery"": 13.717578092261714}",1.585231088242977,607.0,280.0,9
VEH0010,Toyota Land Cruiser,49,Cab,inactive,235,82231.29804750877,2019,5.756426000517532,0.7380980189917015,2024-12-23,170,6782.927615053196,0.17005460825051932,30.575902946843307,"{""co2"": 133.68713496525757, ""nox"": 20.82151136527326}",0.0065613590555246805,0.02584173997333624,"{""engine_temp"": 218.8102958669101, ""oil_pressure"": 34.10197598597441, ""battery"": 12.126177570516358}",0.885498717867341,292.0,451.0,10
